SkillSid;DefaultLanguage;Languages;SkillTypeCode;SkillLevelCode;SkillTitle_de-ch;SkillDescription_de-CH;IsApproved
BKN_LVb_BODLUV33_Kulog_DD_m;de-CH;de-CH;BKN;Soldat;BKN LVb BODLUV Br. 33 Küchenlogistik Soldat Durchdiener Männlich;;True
BKN_LVb_BODLUV33_Kulog_DD_w;de-CH;de-CH;BKN;Soldat;BKN LVb BODLUV Br. 33 Küchenlogistik Soldat Durchdiener Weiblich;;True
BKN_LVb_BODLUV33_Kulog_m;de-CH;de-CH;BKN;Soldat;BKN LVb BODLUV Br. 33 Küchenlogistik Soldat Männlich;;True
BKN_LVb_BODLUV33_Kulog_w;de-CH;de-CH;BKN;Soldat;BKN LVb BODLUV Br. 33 Küchenlogistik Soldat Weiblich;;True
BKN_LVb_BODLUV33_Motfhr_m;de-CH;de-CH;BKN;Soldat;BKN LVb BODLUV Br. 33 Motorfahrer Männlich;;True
BKN_LVb_BODLUV33_Motfhr_w;de-CH;de-CH;BKN;Soldat;BKN LVb BODLUV Br. 33 Motorfahrer Weiblich;;True
BKN_LVb_BODLUV33_Trp_BH_DD_m;de-CH;de-CH;BKN;Soldat;BKN LVb BODLUV Br. 33 Truppenbuchhalter Soldat Durchdiener Männlich;;True
BKN_LVb_BODLUV33_Trp_BH_DD_w;de-CH;de-CH;BKN;Soldat;BKN LVb BODLUV Br. 33 Truppenbuchhalter Soldat Durchdiener Weiblich;;True
BKN_LVb_BODLUV33_Trp_BH_m;de-CH;de-CH;BKN;Soldat;BKN LVb BODLUV Br. 33 Truppenbuchhalter Männlich;;True
BKN_LVb_BODLUV33_Trp_BH_w;de-CH;de-CH;BKN;Soldat;BKN LVb BODLUV Br. 33 Truppenbuchhalter Weiblich;;True
BKN_LVb_BODLUV33_Trp_Koch_DD_m;de-CH;de-CH;BKN;Soldat;BKN LVb BODLUV Br. 33 Truppenkoch Soldat Durchdiener Männlich;;True
BKN_LVb_BODLUV33_Trp_Koch_DD_w;de-CH;de-CH;BKN;Soldat;BKN LVb BODLUV Br. 33 Truppenkoch Soldat Durchdiener Weiblich;;True
BKN_LVb_BODLUV33_Trp_Koch_m;de-CH;de-CH;BKN;Soldat;BKN LVb BODLUV Br. 33 Truppenkoch Männlich;;True
BKN_LVb_BODLUV33_Trp_Koch_w;de-CH;de-CH;BKN;Soldat;BKN LVb BODLUV Br. 33 Truppenkoch Weiblich;;True
