SkillSid;DefaultLanguage;Languages;SkillTypeCode;SkillLevelCode;SkillTitle_de-CH;SkillDescription_de-CH;IsApproved
BKN_LVb_GRttgABC_ABC_Aufkl_Sdt_m;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC Aufklärungssoldat Männlich;;True
BKN_LVb_GRttgABC_ABC_Aufkl_Sdt_w;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC Aufklärungssoldat Weiblich;;True
BKN_LVb_GRttgABC_ABC_Aufklfz_Fahr_m;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC ABC Aufklärungsfahrzeug-Fahrer Männlich;;True
BKN_LVb_GRttgABC_ABC_Aufklfz_Fahr_w;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC ABC Aufklärungsfahrzeug-Fahrer Weiblich;;True
BKN_LVb_GRttgABC_ABC_Dekontamination_Sdt_m;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC ABC Dekontaminationssoldat Männlich;;True
BKN_LVb_GRttgABC_ABC_Dekontamination_Sdt_w;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC ABC Dekontaminationssoldat Weiblich;;True
BKN_LVb_GRttgABC_ABC_Nach_Bio_m;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC ABC Abwehr Soldat Nachweis Biologischer Labor Spezialist Männlich;;True
BKN_LVb_GRttgABC_ABC_Nach_Bio_w;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC ABC Abwehr Soldat Nachweis Biologischer Labor Spezialist Weiblich;;True
BKN_LVb_GRttgABC_ABC_Nach_Chemie_m;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC ABC Abwehr Soldat Nachweis Chemie Labor Spezialist Männlich;;True
BKN_LVb_GRttgABC_ABC_Nach_Chemie_w;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC ABC Abwehr Soldat Nachweis Chemie Labor Spezialist Weiblich;;True
BKN_LVb_GRttgABC_ABC_Nach_Nuk_m;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC ABC Abwehr Soldat Nachweis Nuklear Labor Spezialist Männlich;;True
BKN_LVb_GRttgABC_ABC_Nach_Nuk_w;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC ABC Abwehr Soldat Nachweis Nuklear Labor Spezialist Weiblich;;True
BKN_LVb_GRttgABC_ABC_Nach_SIBCRA_m;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC ABC Abwehr Soldat Nachweis SIBCRA Männlich;;True
BKN_LVb_GRttgABC_ABC_Nach_SIBCRA_w;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC ABC Abwehr Soldat Nachweis SIBCRA Weiblich;;True
BKN_LVb_GRttgABC_ABC_Nachfz_Fahr_m;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC ABC Nachweisfahrzeugfahrer Männlich;;True
BKN_LVb_GRttgABC_ABC_Nachfz_Fahr_w;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC ABC Nachweisfahrzeugfahrer Weiblich;;True
BKN_LVb_GRttgABC_Bau_Pi_ABC_Spuer_m;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC Baupionier ABC Spürer Männlich;;True
BKN_LVb_GRttgABC_Bau_Pi_ABC_Spuer_w;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC Baupionier ABC Spürer Weiblich;;True
BKN_LVb_GRttgABC_Bau_Pi_FahrC1_m;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC Baupionier Fahrer C1 Männlich;;True
BKN_LVb_GRttgABC_Bau_Pi_FahrC1_w;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC Baupionier Fahrer C1 Weiblich;;True
BKN_LVb_GRttgABC_Bau_Pi_m;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC Baupionier Männlich;;True
BKN_LVb_GRttgABC_Bau_Pi_w;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC Baupionier Weiblich;;True
BKN_LVb_GRttgABC_Betr_Sdt_FahrC1_m;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC Betriebssoldat Fahrer C1 Männlich;;True
BKN_LVb_GRttgABC_Betr_Sdt_FahrC1_w;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC Betriebssoldat Fahrer C1 Weiblich;;True
BKN_LVb_GRttgABC_Betr_Sdt_m;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC Betriebssoldat Männlich;;True
BKN_LVb_GRttgABC_Betr_Sdt_w;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC Betriebssoldat Weiblich;;True
BKN_LVb_GRttgABC_Bm_Fahr_DD_m;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC Baumaschinenfahrer Durchdiener Männlich;;True
BKN_LVb_GRttgABC_Bm_Fahr_DD_w;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC Baumaschinenfahrer Durchdiener Weiblich;;True
BKN_LVb_GRttgABC_Bm_Fahr_ABC_spuer_m;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC Baumaschinenfahrer ABC Spürer Männlich;;True
BKN_LVb_GRttgABC_Bm_Fahr_ABC_spuer_w;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC Baumaschinenfahrer ABC Spürer Weiblich;;True
BKN_LVb_GRttgABC_BootS_ABC_spuer_m;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC Bootsschütze ABC Spürer Männlich;;True
BKN_LVb_GRttgABC_BootS_ABC_spuer_w;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC Bootsschütze ABC Spürer Weiblich;;True
BKN_LVb_GRttgABC_BootS_Fahr_B_m;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC Bootsschütze Fahrer B Männlich;;True
BKN_LVb_GRttgABC_BootS_Fahr_B_w;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC Bootsschütze Fahrer B Weiblich;;True
BKN_LVb_GRttgABC_BootS_Fahr_C1_m;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC Bootsschütze Fahrer C1 Männlich;;True
BKN_LVb_GRttgABC_BootS_Fahr_C1_w;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC Bootsschütze Fahrer C1 Weiblich;;True
BKN_LVb_GRttgABC_BootS_m;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC Bootsschütze Männlich;;True
BKN_LVb_GRttgABC_BootS_w;de-CH;de-CH;BKN;Soldat;BKN LVb GRttgABC Bootsschütze Weiblich;;True
