SkillSid;DefaultLanguage;Languages;SkillTypeCode;SkillLevelCode;SkillTitle_de-CH;SkillDescription_de-CH;IsApproved
BKN_LVb_Log_Betr_Sdt_m;de-CH;de-CH;BKN;Soldat;BKN LVbLog Betriebssoldat Männlich;;True
BKN_LVb_Log_Betr_Sdt_w;de-CH;de-CH;BKN;Soldat;BKN LVbLog Betriebssoldat Weiblich;;True
BKN_LVb_Log_Bueo_Ord_m;de-CH;de-CH;BKN;Soldat;BKN LVbLog Büroordonanz Männlich;;True
BKN_LVb_Log_Bueo_Ord_w;de-CH;de-CH;BKN;Soldat;BKN LVbLog Büroordonanz Weiblich;;True
BKN_LVb_Log_Diagn_Ik_Syst_DD_m;de-CH;de-CH;BKN;Soldat;BKN LVbLog Diagnostiker Informatik Systeme / Durchdiener Männlich;;True
BKN_LVb_Log_Diagn_Ik_Syst_DD_w;de-CH;de-CH;BKN;Soldat;BKN LVbLog Diagnostiker Informatik Systeme / Durchdiener Weiblich;;True
BKN_LVb_Log_Diagn_IMFS_DD_m;de-CH;de-CH;BKN;Soldat;BKN LVbLog Diagnostiker IMFS / Durchdiener Männlich;;True
BKN_LVb_Log_Diagn_IMFS_DD_w;de-CH;de-CH;BKN;Soldat;BKN LVbLog Diagnostiker IMFS / Durchdiener Weiblich;;True
BKN_LVb_Log_Diagn_Komm_Ffhr_m;de-CH;de-CH;BKN;Soldat;BKN LVbLog Diagnostiker Kommunikation Feuerführung Männlich;;True
BKN_LVb_Log_Diagn_Komm_Ffhr_w;de-CH;de-CH;BKN;Soldat;BKN LVbLog Diagnostiker Kommunikation Feuerführung Weiblich;;True
BKN_LVb_Log_Diagn_Komm_FIS_HE_DD_m;de-CH;de-CH;BKN;Soldat;BKN LVbLog Diagnostiker Kommunikation FIS HEER / Durchdiener Männlich;;True
BKN_LVb_Log_Diagn_Komm_FIS_HE_DD_w;de-CH;de-CH;BKN;Soldat;BKN LVbLog Diagnostiker Kommunikation FIS HEER / Durchdiener Weiblich;;True
BKN_LVb_Log_Diagn_Komm_Flt_m;de-CH;de-CH;BKN;Soldat;BKN LVbLog Diagnostiker Kommunikation Feuerleit Männlich;;True
BKN_LVb_Log_Diagn_Komm_Flt_w;de-CH;de-CH;BKN;Soldat;BKN LVbLog Diagnostiker Kommunikation Feuerleit Weiblich;;True
BKN_LVb_Log_Diagn_Komm_m;de-CH;de-CH;BKN;Soldat;BKN LVbLog Diagnostiker Kommunikation Männlich;;True
BKN_LVb_Log_Diagn_Komm_w;de-CH;de-CH;BKN;Soldat;BKN LVbLog Diagnostiker Kommunikation Weiblich;;True
BKN_LVb_Log_Diagn_Wet_P_Art_m;de-CH;de-CH;BKN;Soldat;BKN LVbLog Diagnostiker Wetter Peiler Artillerie Männlich;;True
BKN_LVb_Log_Diagn_Wet_P_Art_w;de-CH;de-CH;BKN;Soldat;BKN LVbLog Diagnostiker Wetter Peiler Artillerie Weiblich;;True
BKN_LVb_Log_Gtm_M_Flab_m;de-CH;de-CH;BKN;Soldat;BKN LVbLog Gerätemechaniker Mittlere Fliegerabwehr Männlich;;True
BKN_LVb_Log_Gtm_M_Flab_w;de-CH;de-CH;BKN;Soldat;BKN LVbLog Gerätemechaniker Mittlere Fliegerabwehr Weiblich;;True
BKN_LVb_Log_Gtm_San_m;de-CH;de-CH;BKN;Soldat;BKN LVbLog Gerätemechaniker Sanität Männlich;;True
BKN_LVb_Log_Gtm_San_w;de-CH;de-CH;BKN;Soldat;BKN LVbLog Gerätemechaniker Sanität Weiblich;;True
BKN_LVb_Log_Gtm_STINGER_m;de-CH;de-CH;BKN;Soldat;BKN LVbLog Gerätemechaniker STINGER Männlich;;True
BKN_LVb_Log_Gtm_STINGER_w;de-CH;de-CH;BKN;Soldat;BKN LVbLog Gerätemechaniker STINGER Weiblich;;True
BKN_LVb_Log_Hfs_Fahr_C1_m;de-CH;de-CH;BKN;Soldat;BKN LVbLog Hufschmied / Fahrer C1 Männlich;;True
BKN_LVb_Log_Hfs_Fahr_C1_w;de-CH;de-CH;BKN;Soldat;BKN LVbLog Hufschmied / Fahrer C1 Weiblich;;True
BKN_LVb_Log_Hfs_m;de-CH;de-CH;BKN;Soldat;BKN LVbLog Hufschmied Männlich;;True
BKN_LVb_Log_Hfs_w;de-CH;de-CH;BKN;Soldat;BKN LVbLog Hufschmied Weiblich;;True
BKN_LVb_Log_Log_Einh_SanFahr_C1_m;de-CH;de-CH;BKN;Soldat;BKN LVbLog Einheitssanitäter / Fahrer C1 Männlich;;True
BKN_LVb_Log_Log_Einh_SanFahr_C1_w;de-CH;de-CH;BKN;Soldat;BKN LVbLog Einheitssanitäter / Fahrer C1 Weiblich;;True
BKN_LVb_Log_Mech_Eagle_m;de-CH;de-CH;BKN;Soldat;BKN LVbLog Mechaniker Eagle Männlich;;True
BKN_LVb_Log_Mech_Eagle_w;de-CH;de-CH;BKN;Soldat;BKN LVbLog Mechaniker Eagle Weiblich;;True
BKN_LVb_Log_Mech_GMTF_m;de-CH;de-CH;BKN;Soldat;BKN LVbLog Mechaniker GMTF Männlich;;True
BKN_LVb_Log_Mech_GMTF_w;de-CH;de-CH;BKN;Soldat;BKN LVbLog Mechaniker GMTF Weiblich;;True
BKN_LVb_Log_Mech_Hb_ELA_m;de-CH;de-CH;BKN;Soldat;BKN LVbLog Mechaniker Haubitze Elektronikanlagen Männlich;;True
BKN_LVb_Log_Mech_Hb_ELA_w;de-CH;de-CH;BKN;Soldat;BKN LVbLog Mechaniker Haubitze Elektronikanlagen Weiblich;;True
BKN_LVb_Log_Mech_Hb_Fahrgestell_m;de-CH;de-CH;BKN;Soldat;BKN LVbLog Mechaniker Haubitze Fahrgestell Männlich;;True
