SkillSid;DefaultLanguage;Languages;SkillTypeCode;SkillLevelCode;SkillTitle_de-CH;SkillDescription_de-CH;IsApproved
BKN_LVb_Inf_Betr_SdtFahr_C1_m;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Betriebssoldat Männlich;;True
BKN_LVb_Inf_Betr_SdtFahr_C1_w;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Betriebssoldat Weiblich;;True
BKN_LVb_Inf_Betr_Sdt_m;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Betriebssoldat / Fahrer C1 Männlich;;True
BKN_LVb_Inf_Betr_Sdt_w;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Betriebssoldat / Fahrer C1 Weiblich;;True
BKN_LVb_Inf_Buro_Ord_m;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Büroordonannz Männlich;;True
BKN_LVb_Inf_Buro_Ord_w;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Büroordonannz Weiblich;;True
BKN_LVb_Inf_Einh_San_m;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Einheitssanitäter Männlich;;True
BKN_LVb_Inf_Einh_San_w;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Einheitssanitäter Weiblich;;True
BKN_LVb_Inf_Fhr_St_SdtFahr_C1_m;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Führungsstaffelsoldat Männlich;;True
BKN_LVb_Inf_Fhr_St_SdtFahr_C1_w;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Führungsstaffelsoldat Weiblich;;True
BKN_LVb_Inf_Fhr_St_Sdt_m;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Führungsstaffelsoldat / Fahrer C1 Männlich;;True
BKN_LVb_Inf_Fhr_St_Sdt_w;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Führungsstaffelsoldat / Fahrer C1 Weiblich;;True
BKN_LVb_Inf_Geb_SpezFahr_C1_m;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Gebirgsspezialist / Fahrer C1 Männlich;;True
BKN_LVb_Inf_Geb_SpezFahr_C1_w;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Gebirgsspezialist / Fahrer C1 Weiblich;;True
BKN_LVb_Inf_Geb_Spez_m;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Gebirgsspezialist Männlich;;True
BKN_LVb_Inf_Geb_Spez_w;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Gebirgsspezialist Weiblich;;True
BKN_LVb_Inf_Inf_BesInf_Pz_Fahr_DD_m;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Infanterie Besatzer / Infanterie Panzerfahrer Durchdiener Männlich;;True
BKN_LVb_Inf_Inf_BesInf_Pz_Fahr_DD_w;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Infanterie Besatzer / Infanterie Panzerfahrer Durchdiener Weiblich;;True
BKN_LVb_Inf_Inf_BesInf_Pz_Fahr_m;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Infanterie Besatzer / Infanterie Panzerfahrer Männlich;;True
BKN_LVb_Inf_Inf_BesInf_Pz_Fahr_w;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Infanterie Besatzer / Infanterie Panzerfahrer Weiblich;;True
BKN_LVb_Inf_Inf_DD_m;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Infanterist Durchdiener Männlich;;True
BKN_LVb_Inf_Inf_DD_w;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Infanterist Durchdiener Weiblich;;True
BKN_LVb_Inf_Inf_Einh_SanFahr_C1_DD_m;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Infanterie Einheitssanitäter / Fahrer C1 Durchdiener Männlich;;True
BKN_LVb_Inf_Inf_Einh_SanFahr_C1_DD_w;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Infanterie Einheitssanitäter / Fahrer C1 Durchdiener Weiblich;;True
BKN_LVb_Inf_Inf_Einh_SanFahr_C1_m;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Infanterie Einheitssanitäter / Fahrer C1 Männlich;;True
BKN_LVb_Inf_Inf_Einh_SanFahr_C1_w;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Infanterie Einheitssanitäter / Fahrer C1 Weiblich;;True
BKN_LVb_Inf_InfFahr_C1_DD_m;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Infanterist / Fahrer C1 Durchdiener Männlich;;True
BKN_LVb_Inf_InfFahr_C1_DD_w;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Infanterist / Fahrer C1 Durchdiener Weiblich;;True
BKN_LVb_Inf_InfFahr_C1_m;de-CH;de-CH;BKN;Soldat;BKN LVb Inf Infanterist / Fahrer C1 Männlich;;True
